ID	ReferenceType	ReferenceID	
257832	ComNameRef	147411	
259564	ComNameRef	102812	
118852	ComNameRef	61	
118918	ComNameRef	102812	
262451	ComNameRef	147411	
262568	ComNameRef	147411	
257081	ComNameRef	102812	
263752	ComNameRef	147411	
257832	ComNameRef	147411	
264152	ComNameRef	156314	
119024	ComNameRef	147411	
146999	ComNameRef	147411	
118917	ComNameRef	1675	
264351	ComNameRef	102812	
263616	ComNameRef	147411	
258615	ComNameRef	147411	
257832	ComNameRef	151643	
259568	ComNameRef	102812	
260522	ComNameRef	147411	
119046	ComNameRef	1675	
148645	ComNameRef	102812	
261350	ComNameRef	147411	
257580	ComNameRef	147411	
262544	ComNameRef	147411	
257774	ComNameRef	147411	
345372	ComNameRef	47796	
119001	ComNameRef	1675	
157912	ComNameRef	2901	
258947	ComNameRef	102812	
118474	ComNameRef	1675	
119039	ComNameRef	685	
119039	ComNameRef	755	
261223	ComNameRef	102812	
258268	ComNameRef	147411	
262343	ComNameRef	147411	
262440	ComNameRef	147411	
118852	ComNameRef	147411	
263521	ComNameRef	102812	
263585	ComNameRef	147411	
263752	ComNameRef	147411	
257832	ComNameRef	147411	
257832	ComNameRef	151643	
264152	ComNameRef	147411	
119046	ComNameRef	755	
118953	ComNameRef	1675	
146999	ComNameRef	147411	
293516	ComNameRef	147412	
119036	ComNameRef	147411	
148669	ComNameRef	132969	
263649	ComNameRef	147411	
258850	ComNameRef	147411	
257760	ComNameRef	147411	
118852	ComNameRef	10085	
325483	ComNameRef	147411	
119044	ComNameRef	147411	
118958	ComNameRef	1675	
146999	ComNameRef	1116	
257580	ComNameRef	147411	
257580	ComNameRef	147411	
258268	ComNameRef	147411	
119036	ComNameRef	147411	
263631	ComNameRef	147411	
118852	ComNameRef	685	
118852	ComNameRef	755	
325483	ComNameRef	147412	
146999	ComNameRef	147411	
261029	ComNameRef	102812	
258268	ComNameRef	147411	
119034	ComNameRef	147411	
148673	ComNameRef	147411	
260073	ComNameRef	147411	
260535	ComNameRef	147411	
118917	ComNameRef	147411	
261279	ComNameRef	147411	
262440	ComNameRef	147411	
258592	ComNameRef	147411	
263753	ComNameRef	147411	
118852	ComNameRef	141421	
118852	ComNameRef	147411	
119039	ComNameRef	147411	
119046	ComNameRef	139287	
118958	ComNameRef	685	
118958	ComNameRef	147411	
146999	ComNameRef	1116	
118917	ComNameRef	685	
118917	ComNameRef	1116	
118917	ComNameRef	147412	
118917	ComNameRef	102812	
261019	ComNameRef	102812	
262272	ComNameRef	147411	
263835	ComNameRef	147411	
119042	ComNameRef	147411	
119044	ComNameRef	141734	
119044	ComNameRef	147411	
146999	ComNameRef	147411	
146999	ComNameRef	147411	
118917	ComNameRef	1116	
261213	ComNameRef	147411	
118843	ComNameRef	1675	
119039	ComNameRef	147411	
325483	ComNameRef	147411	
119042	ComNameRef	1675	
146999	ComNameRef	1116	
118827	ComNameRef	1675	
146494	ComNameRef	151643	
118474	ComNameRef	147411	
260695	ComNameRef	147411	
264171	ComNameRef	685	
148661	ComNameRef	102812	
259528	ComNameRef	102812	
259898	ComNameRef	147411	
146999	ComNameRef	685	
146999	ComNameRef	755	
146999	ComNameRef	9269	
262440	ComNameRef	147411	
258575	ComNameRef	147411	
262830	ComNameRef	147411	
119034	ComNameRef	147411	
258615	ComNameRef	147411	
257781	ComNameRef	147411	
259095	ComNameRef	147411	
119024	ComNameRef	147411	
257580	ComNameRef	147411	
157901	ComNameRef	2901	
258592	ComNameRef	147411	
263752	ComNameRef	147411	
259878	TaxAccRef	46690	
260566	TaxAccRef	628	
260623	TaxAccRef	628	
258020	TaxAccRef	46913	
258720	TaxAccRef	44442	
535973	TaxAccRef	45528	
258787	TaxAccRef	628	
258844	TaxAccRef	628	
255743	TaxAccRef	628	
263474	TaxAccRef	628	
260159	TaxAccRef	628	
260152	TaxAccRef	44218	
157901	TaxAccRef	42	
260216	TaxAccRef	628	
262924	TaxAccRef	44990	
255336	TaxAccRef	628	
255629	TaxAccRef	628	
261938	TaxAccRef	628	
261995	TaxAccRef	628	
257008	TaxAccRef	628	
257065	TaxAccRef	628	
255279	TaxAccRef	628	
260406	TaxAccRef	44622	
258230	TaxAccRef	44517	
459108	TaxAccRef	141195	
263590	TaxAccRef	45090	
295219	TaxAccRef	628	
257408	TaxAccRef	628	
263767	TaxAccRef	628	
148658	TaxAccRef	138856	
263299	TaxAccRef	45324	
258894	TaxAccRef	628	
255636	TaxAccRef	628	
264117	TaxAccRef	628	
256214	TaxAccRef	47199	
118214	TaxAccRef	45333	
264563	TaxAccRef	45065	
258487	TaxAccRef	628	
261945	TaxAccRef	628	
260073	TaxAccRef	44209	
259380	TaxAccRef	45176	
263418	TaxAccRef	45685	
294712	TaxAccRef	628	
262660	TaxAccRef	44816	
260018	TaxAccRef	44623	
260516	TaxAccRef	628	
118677	TaxAccRef	2930	
258680	TaxAccRef	628	
258902	TaxAccRef	45615	
345335	TaxAccRef	47796	
264628	TaxAccRef	44183	
258780	TaxAccRef	628	
258251	TaxAccRef	44087	
262395	TaxAccRef	628	
183255	TaxAccRef	6831	
256735	TaxAccRef	47129	
258601	TaxAccRef	628	
175105	TaxAccRef	4179	
295405	TaxAccRef	628	
257222	TaxAccRef	628	
263660	TaxAccRef	628	
260253	TaxAccRef	46777	
255529	TaxAccRef	628	
257022	TaxAccRef	628	
264060	TaxAccRef	628	
174634	TaxAccRef	45362	
256686	TaxAccRef	45469	
258062	TaxAccRef	45266	
255324	TaxAccRef	45169	
258794	TaxAccRef	628	
263581	TaxAccRef	628	
264597	TaxAccRef	44358	
260266	TaxAccRef	628	
257618	TaxAccRef	138786	
261662	TaxAccRef	45065	
390041	TaxAccRef	47369	
293990	TaxAccRef	628	
262045	TaxAccRef	628	
259097	TaxAccRef	44757	
264289	TaxAccRef	44157	
260316	TaxAccRef	628	
263655	TaxAccRef	44388	
220690	TaxAccRef	628	
258629	TaxAccRef	46836	
258025	TaxAccRef	47109	
264763	TaxAccRef	45059	
367100	TaxAccRef	45782	
261888	TaxAccRef	628	
258019	TaxAccRef	138868	
262013	TaxAccRef	44659	
256412	TaxAccRef	47267	
262288	TaxAccRef	628	
256922	TaxAccRef	628	
255433	TaxAccRef	46840	
118210	TaxAccRef	628	
